,Unnamed: 0,Sentence,Aspect Terms,Sentiment
3057,3057,who pays the cost of rahul gandhi'S security ?,rahul gandhi'S,NEGATIVE
1491,1491,Aidin is beginning to take steps . It's so awesome to see my little bug grow .,Aidin,POSITIVE
840,840,"Year 2020 . Will we see countries name like ( Apple , Samsung , Google , Facebook , Microsoft , T ) . From PIIGS to ( ASGFM ) . then no more Euro Crisis",Google,NEUTRAL
2369,2369,Precise #News - DHS finalizing plan for exit system : WASHINGTON ( AP ) -- The Department of Homeland Security ... http://t.co/MoArBkgg,AP,NEUTRAL
2440,2440,"Words to live by --&gt ; RT @domcaruso : If you tell the truth , you don't have to remember anything . - Mark Twain",Mark Twain,POSITIVE
395,395,"Ugarit News || #Syria || [ 11 Dec 2011 ] Al-Bayadah , #Hom s: The martyr Fouad Kan'an along with his Mother , sister , ... http://t.co/UoSl3D0o",Fouad Kan'an,NEUTRAL
1442,1442,ClixSense is one of the oldest and most trusted PTC ( Paid To Click ) websites online .... Big Money For All ... http://fb.me/sNkNDtT5,ClixSense,POSITIVE
2272,2272,"Forty Rules of Love by Elif Shafak , Great Book",Elif Shafak,POSITIVE
1756,1756,"Afghan soldier ""kills two NATO troops"" at protests ( Reuters ) http://t.co/dxHYGT5A",Reuters,NEUTRAL
2169,2169,Humor is always based on a modicum of truth . Have you ever heard a joke about a father-in-law ? Dick Clark,Dick Clark,NEUTRAL
1815,1815,@sardesairajdeep its a genuine defect in NOKIA mobile phones .... plz dnt ignore it ..,NOKIA,NEGATIVE
1684,1684,Liverpool's 'Goal Problem' in numbers http://t.co/rR9rYxr3 via @football_speak,Liverpool's,NEGATIVE
775,775,BBC News - On board stricken cargo ship off NZ coast http://t.co/Z1IOxvPF,BBC News,NEUTRAL
3066,3066,Movie Review : 'Jack and Jill' - Conway Daily Sun : Patriot-NewsMovie Review : 'Jack and Jill'Conway Daily SunÃ¢ÂÂJa ... http://t.co/N7xEGdHb,Conway Daily Sun,NEUTRAL
60,60,"Ultimate Betrayal of Trust Penn State Coach Raped Kids , Admin Covered Up ;) penn state http://t.co/qEGdP7RV",penn state,NEGATIVE
2881,2881,Dan had a great kickstart today to achieve his goal . He's hooked on a new daily sms service ! spon http://tinyurl.com/2d2sa6h,Dan,POSITIVE
1755,1755,"Afghan soldier ""kills two NATO troops"" at protests ( Reuters ) http://t.co/dxHYGT5A",NATO,NEUTRAL
