,Unnamed: 0,data_id,message_id,date,text,tweet_lang,place,photo_url,geometry,source
2020,6538,2020,1515024417826476033,2022-04-15 17:49:03,more people need to be talking about this! home boy been collecting those quick fire w’s,en,"Ladera Heights, CA",,"POLYGON ((-118.391088 33.97632, -118.391088 34.014937, -118.357614 34.014937, -118.357614 33.97632, -118.391088 33.97632))",Californian Wildfire
168,592,168,1657679170707529731,2023-05-14 09:28:07,"@vfeltri It will express littleness, but it has become a true leader for its people. And in case of invasion war it is what counts. Take this smell off your nose!",it,"Florence, Tuscany",,"POLYGON ((11.1496504 43.7259588, 11.339984 43.7259588, 11.339984 43.8354579, 11.1496504 43.8354579, 11.1496504 43.7259588))",Italian Wildfire
3303,2460,3303,1550245990141247489,2022-07-21 22:27:00,"LAFD-Valley Vegetation Fire reported at Oro Vista Ave / Big Tujunga Canyon Rd

https://t.co/6epPSZyqMf
#lafd #lafdalert",en,"Los Angeles, CA",,POINT (-118.310575 34.275563),Californian Wildfire
564,4988,564,1543479986966994945,2022-07-03 06:21:20,"LACoFD-4 | South County Commercial Fire reported at Towne Center Dr / Park Plaza Dr

https://t.co/Ske82q9zDH
#lacofd #lacofdalert",en,"Cerritos, CA",,POINT (-118.05848 33.867955),Californian Wildfire
1383,495,1383,1657311808800149504,2023-05-13 09:08:21,#salvini is said not to meet #salvini has other things to do in front of the world. https://t.co/eQVqUV1oS3,it,"Prato, Tuscany",https://t.co/eQVqUV1oS3,"POLYGON ((11.0131274 43.8159427, 11.1694123 43.8159427, 11.1694123 43.9492577, 11.0131274 43.9492577, 11.0131274 43.8159427))",Italian Wildfire
77,4791,77,1535741409201991688,2022-06-11 21:50:59,"Only you can prevent forest fires 🔥 🌳 🐻 #UCLA #Dodgers 

P.S. I really just wanted to post a pic of my alma mater @ucla @uclaalumni from today’s visit to campus. 🐻 

#TheDailySauce @ UCLA https://t.co/xk9NFznllL",en,"Los Angeles, CA",,POINT (-118.44673634 34.07073346),Californian Wildfire
5316,5773,5316,1543042783719526400,2022-07-02 01:24:02,@AncientSubHunt Cal Fire has Broncos.,es,"Oceanside, CA",,"POLYGON ((-117.399853 33.152639, -117.399853 33.299993, -117.241905 33.299993, -117.241905 33.152639, -117.399853 33.152639))",Californian Wildfire
1964,5081,1964,1547410735168458754,2022-07-14 02:40:43,"Brush fire two right lanes blocked in #Hesperia on I-15 NB before Ranchero Road, stopped traffic back to Cajon Summit #LAtraffic https://t.co/e2e6MWkOvI",en,"Oak Hills, CA",,POINT (-117.4155 34.38302),Californian Wildfire
2887,1081,2887,1658889747752796160,2023-05-17 17:38:31,A #Riccione in one of the 23 municipalities with diffuse flooding #flood #AlluvioneRomagna. https://t.co/HEJa6dPPbD,it,"Riccione, Emilia Romagna","https://t.co/HEJa6dPPbD,https://t.co/HEJa6dPPbD,https://t.co/HEJa6dPPbD,https://t.co/HEJa6dPPbD","POLYGON ((12.601807 43.9738463, 12.688821 43.9738463, 12.688821 44.0251995, 12.601807 44.0251995, 12.601807 43.9738463))",Italian Wildfire
1993,2136,1993,1478594012315467779,2022-01-05 05:07:38,@spiritfeeler @JennyChachan Spot on!  Where's the footage of neighborhood responding to the fire?!,en,"Milpitas, CA",,"POLYGON ((-121.931305 37.39609, -121.931305 37.466856, -121.861025 37.466856, -121.861025 37.39609, -121.931305 37.39609))",Californian Wildfire
