,Unnamed: 0,data_id,message_id,date,text,tweet_lang,place,photo_url,geometry,source
438,604,438,1657798103880146945,2023-05-14 17:20:43,"#HealingRevivalBrazil This is TREMEDO to see! ""A blind child in one eye regained sight from the Power of the Eternal Blood of Jesus"" @silvia_rovatti @RisveglioG https://t.co/PWXWef9RFy",it,"Sassuolo, Emilia Romagna",,"POLYGON ((10.7211882 44.4867194, 10.8150472 44.4867194, 10.8150472 44.6069438, 10.7211882 44.6069438, 10.7211882 44.4867194))",Italian Wildfire
6175,2883,6175,1544223880419704832,2022-07-05 07:37:18,"LACoFD-4 | South County Structure Fire reported at 12215 Bombardier Ave, Norwalk, Ca

https://t.co/EXtDyRqaPc
#lacofd #lacofdalert",en,"Norwalk, CA",,POINT (-118.0788 33.92019),Californian Wildfire
3500,349,3500,1655597522134474753,2023-05-08 15:36:23,"@Paolo45070326 @barbyblanche @kazeokanjiro_00 @DrPaoloMezzana If you then think that those who did not make the 4th, at the end of the pandemic, is a ""novax"" then has a big problem. If to this 84% we add those with only two doses, all those who for health reasons could not vaccinate, the fifoni and the undecided, the remaining 2% is also too https://t.co/eXzgzATjBX",it,"Cesena, Emilia Romagna",https://t.co/eXzgzATjBX,"POLYGON ((12.0944762 44.0203236, 12.3622938 44.0203236, 12.3622938 44.2331274, 12.0944762 44.2331274, 12.0944762 44.0203236))",Italian Wildfire
2284,5798,2284,1478178250430025732,2022-01-04 01:35:32,"Not a bad way to spend a Monday night #bonfire @ Santa Barbara, California https://t.co/OoAiji6NG0",en,"Santa Barbara, CA",,POINT (-119.714 34.4258),Californian Wildfire
2447,1038,2447,1658821886954930176,2023-05-17 13:08:51,"@imiepassi Si cara, tutto ok. Small inconveniences, but nothing compared to what you see in Romagna or Bologna",it,"Castelnuovo Rangone, Emilia Romagna",,"POLYGON ((10.8792066 44.5338053, 10.9741387 44.5338053, 10.9741387 44.5894254, 10.8792066 44.5894254, 10.8792066 44.5338053))",Italian Wildfire
2925,6555,2925,1542231755545104386,2022-06-29 19:41:18,"LACoFD-3 | Crescenta / Santa Clarita Vegetation Fire reported at Antelope Valley Fwy / Soledad Canyon Rd

https://t.co/W5HaAcQhf6
#lacofd #lacofdalert",en,"California, USA",,POINT (-118.3855 34.43355),Californian Wildfire
253,5052,253,1539384295181021184,2022-06-21 23:06:31,"@RedwoodCity Hey @redwoodcityfire, @RedwoodCity how about tweeting that there’s a fire up in Emerald Hills (Redwood City)!Half the friends I’ve called don’t know it’s happening because the power is out and they’re hunkered down trying to stay cool.",en,"Redwood City, CA",,"POLYGON ((-122.28853 37.443954, -122.28853 37.550633, -122.177339 37.550633, -122.177339 37.443954, -122.28853 37.443954))",Californian Wildfire
1754,3187,1754,1563702813405851648,2022-08-28 01:39:37,"I'm listening to ""Newark Fireground 1-4"" using the @ScannerRadio app, you can listen to it by going to https://t.co/ARZQsxIOmm",en,"San Diego, CA",,"POLYGON ((-117.282538 32.53962, -117.282538 33.080404, -116.92744 33.080404, -116.92744 32.53962, -117.282538 32.53962))",Californian Wildfire
567,1233,567,1659221417601236995,2023-05-18 15:36:27,"The solidarity of Bologna FC with people affected by the bad weather and the press conference of Thiago Motta: OBJECTIVE, ARNAUTOVIC, TIFOSI #BolognaFC #Cremonese https://t.co/BGToN7GZKy",it,"Bologna, Emilia Romagna","https://t.co/BGToN7GZKy,https://t.co/BGToN7GZKy,https://t.co/BGToN7GZKy,https://t.co/BGToN7GZKy","POLYGON ((11.2296117 44.4211518, 11.4336997 44.4211518, 11.4336997 44.5563177, 11.2296117 44.5563177, 11.2296117 44.4211518))",Italian Wildfire
6290,3152,6290,1573665103576272901,2022-09-24 13:26:12,"San Pedro | Structure Fire reported at S Centre St / 6th St

https://t.co/wLCMjbtXWQ
#lafd #lafdalert",en,"Los Angeles, CA",,POINT (-118.28317 33.738491),Californian Wildfire
